Word,Count,Senses,Definition,Example
last,4,lastly in conclusion  finally,the item at the end,"last, I'll discuss family values"
last but not least,18,last not least,in addition to all the foregoing,last not least he plays the saxophone
late,4,belatedly tardily,later than usual or than expected,the train arrived late
late,4,,at an advanced age or stage,she married late
later,5,,comparative of the adverb `late',he stayed later than you did
laterally,9,,in a lateral direction or location,
laterally,9,,to or by or from the side,such women carry in their heads kinship knowledge of six generations depth and extending laterally among consanguineal kin as far as the grandchildren of second cousin
laughably,9,ridiculously ludicrously  preposterously,so as to arouse or deserve laughter,"her income was laughably small, but she managed to live well"
laughingly,10,,with laughter,while laughing
lavishly,8,richly extravagantly,in a rich and lavish manner,lavishly decorated
laxly,5,leniently,in a permissively lenient manner,he felt incensed that Tarrant should have been treated so leniently given his crime
lazily,6,,in a slow and lazy manner,I watched the blue smoke drift lazily away on the still air
least,5,to the lowest degree,used to form the superlative,The garter snake is the least dangerous snake
least of all,12,,especially not,"nobody, least of all Joe, agreed with me"
leeward,7,upwind,away from the wind,they were sailing leeward
left,4,,toward or on the left,also used figuratively
legally,7,,in a legal manner,he acted legally
legally,7,lawfully de jure,by law,conforming to the law
legato,6,,connecting the notes,in music
legibly,7,decipherably readably,in a legible manner,you must write legibly
legislatively,13,,by legislation,legislatively determined
legitimately,12,,in a lawfully recognized manner,let's get married so our child can be born legitimately
legitimately,12,lawfully licitly,in a manner acceptable to common custom,you cannot do this legitimately
lengthily,9,at length,in a lengthy or prolix manner,the argument went on lengthily
lengthways,10,lengthwise longwise  longways  longitudinally,in the direction of the length,He cut the paper lengthwise
lento,5,slowly,in music,"Play this lento, please"
less,4,to a lesser extent,used to form the comparative of some adjectives and adverbs,less interesting
less,4,,comparative of little,she walks less than she should
let alone,9,not to mention,much less,"she can't boil potatoes, let alone cook a meal"
lethargically,13,unenergetically,without energy,in a lethargic manner
lewdly,6,obscenely,in a lewd and obscene manner,he had seen how in their dances the white men and women held one another obscenely
lexically,9,,by means of words,lexically represented
liberally,9,munificently generously,in a generous manner,he gave liberally to several charities
liberally,9,,freely in a nonliteral manner,he embellished his stories liberally
licentiously,12,wantonly promiscuously,in a licentious and promiscuous manner,this young girl has to share a room with her mother who lives promiscuously
lickety split,13,lickety cut,without delay,she tackled the job lickety-split
lifelessly,10,,in a lifeless manner,the girl lay in her arms lifelessly
lifelessly,10,,without animation or vitality,lifelessly he performed the song
light-heartedly,15,lightsomely,in a light-hearted manner,he light-heartedly overlooks some of the basic facts of life
lightly,7,,with indifference or without dejection,he took it lightly
lightly,7,,indulging with temperance,we eat lightly in the morning
lightly,7,,to a slight degree,her speech is only lightly accented
lightly,7,softly gently,with little weight or force,she kissed him lightly on the forehead
lightly,7,light,with few burdens,experienced travellers travel light
lightly,7,,without good reason,one cannot say such things lightly
lightsomely,11,trippingly,moving with quick light steps,she walked lightsomely down the long staircase
like clockwork,14,,with regularity and precision,
like hell,9,like mad like crazy  like sin  like thunde like the devil,(informal) with great speed or effort or intensity,
like hell,9,like fun,used ironically to indicate the opposite of what is stated,
limply,6,,without rigidity,the body was hanging limply from the tree
lineally,8,,by an unbroken line of descent,she is related lineally to the Royal Family
linearly,8,,in a linear manner,linearly polarized radiation
lingeringly,11,protractedly,"in a slow, leisurely or prolonged way","her voice was swift, yet ever the last words fell lingeringly -Rossetti"
linguistically,14,lingually,with respect to language,linguistically impaired children
linguistically,14,,with respect to the science of linguistics,linguistically interesting data
lispingly,9,,with a lisp,she spoke lispingly
listlessly,10,,in a listless manner,they shook hands rather listlessly
literally,9,,(intensifier before a figurative expression) without exaggeration,
literally,9,,in a literal sense,literally translated
literatim,9,,letter for letter,the message was transcribed literatim
little,6,,not much,he talked little about his family
live,4,,not recorded,the opera was broadcast live
locally,7,,by a particular locality,it was locally decided
locally,7,topically,to a restricted area of the body,apply this medicine topically
loftily,7,,in a lofty manner,she bore herself loftily
logarithmically,15,,in a logarithmic manner,data plotted logarithmically with respect to time is shown in Figure
logically,9,,in a logical manner,he acted logically under the circumstances
logically,9,,according to logical reasoning,"logically, you should now do the same to him"
logogrammatically,17,,by means of logograms,Chinese is written logogrammatically
long,4,,for an extended time or at a distant time,a promotion long overdue
long ago,8,long since lang syne,of the distant or comparatively distant past,We met once long ago
longer,6,,for more time,can I stay bit longer?
longest,7,,for the most time,she stayed longest
longingly,9,yearningly,in a yearning manner,he spent the rest of the act gazing longingly over my right shoulder at the illuminated word `Exit'
longitudinally,14,,with respect to longitude,longitudinally measured
longitudinally,14,,across time,We studied the development of the children longitudinally
loose,5,free,without restraint,cows in India are running loose
loosely,7,,structurally open and not compact or close,loosely knit
loosely,7,slackly,in a relaxed manner,not rigid
loosely,7,,in a loose manner,a union of loosely federated states
lopsidedly,10,crookedly,in a crooked lopsided manner,he smiled lopsidedly
loquaciously,12,garrulously talkatively  talkily,in a chatty loquacious manner,"`When I was young,' she continued loquaciously, `I used to do all sorts of naughty things'"
loudly,6,loud aloud,with relatively high volume,the band played loudly
low,3,,in a low position,near the ground
loweringly,10,,in a menacing or scowling way,he looked up loweringly
lowest,6,,in the lowest position,nearest the ground
loyally,7,,with loyalty,in a loyal manner
lucidly,7,pellucidly limpidly  perspicuously,in a clear and lucid manner,this is a lucidly written book
lugubriously,12,,in a sorrowful lugubrious manner,his long face lugubriously reflecting a hidden and unexpressed compassion
lukewarmly,10,tepidly,in an unenthusiastically lukewarm manner,he was lukewarmly received by his relatives
luridly,7,,in a lurid manner,it was luridly described in the book as the place where mystics took refuge
lusciously,10,deliciously scrumptiously,so as to produce a delightful taste,I bought some more of these deliciously sweet peaches
lustfully,9,,in a lustful manner,he looked at the young woman lustfully
lustily,7,,in a healthy manner,the young plants grew lustily
luxuriantly,11,,in an elegantly luxuriant way,"this suave, culture-loving and luxuriantly good-looking M.P.represents the car-workers of Coventry"
luxuriantly,11,,in an abundant and luxuriant manner,whiskers grew luxuriantly from his ample jowls
luxuriously,11,,in an indulgently luxurious manner,she sprawled out luxuriously on the sofa
lyrically,9,,in a lyrical manner,she danced the part of the Black Swan very lyrically
macroscopically,15,,without using a microscope,The tubes were examined macroscopically
madly,5,insanely deadly  deucedly  devilishly,(used as intensives) extremely,
madly,5,frantically,in an uncontrolled manner,she fought back madly
magically,9,as if by magic,in a magical manner,it disappeared magically
magna cum laude,15,,with high honor,he graduated magna cum laude
magnanimously,13,,in a magnanimous manner,"magnanimously, he forgave all those who had harmed him"
magnetically,12,,as if by magnetism,he was magnetically attracted to her
magnetically,12,,by the use of magnetism,magnetically contaminated material
majestically,12,,in a majestic manner,flamingoes walk majestically through the marshes
maladroitly,11,,in a maladroit manner,he dealt with the situation maladroitly
malevolently,12,,in a malevolent manner,she gossips malevolently
maliciously,11,,with malice,in a malicious manner
manageably,10,,so as to be manageable,this house is manageably small
manfully,8,manly,in a manful manner,with qualities thought to befit a man
maniacally,10,,in a maniacal manner or to a maniacal degree,he was maniacally obsessed with jealousy
man-to-man,10,,directly,we must talk man-to-man
manually,8,,by hand,this car shifts manually
marginally,10,,in a marginal manner,marginally interesting
markedly,8,,in a clearly noticeable manner,sales of luxury cars dropped markedly
masochistically,15,,in a masochistic manner,masochistically he insisted on an even greater workload
massively,9,,to a massive degree or in a massive manner,tonight the haddock were shoaling massively in three hundred fathoms
masterfully,11,,in a skillfully masterful manner,with the skill of a master
materialistically,17,,in a materialistic manner,one should not approach life materialistically
materially,10,,with respect to material aspects,psychologically similar but materially different
materially,10,,to a significant degree,it aided him materially in winning the argument
maternally,10,motherly,in a maternal manner,as a mother
mathematically,14,,with respect to mathematics,mathematically impossible
maturely,8,,in a mature manner,she acts very maturely for her age
mawkishly,9,drippily,in a mawkish and emotional manner,the violinist played that piece mawkishly
maximally,9,,to a maximal degree,the cells maximally responsive to lines in this orientation will fire
meagerly,8,sparingly slenderly  meagrely,to a meager degree or in a meager manner,these voices are meagerly represented at the conference
meanderingly,12,,in a meandering manner,the river ran meanderingly through the valley
meaningfully,12,,in a meaningful manner,so as to be meaningful
meanly,6,humbly,in a miserly manner,they lived meanly and without ostentation
meanly,6,,poorly or in an inferior manner,troops meanly equipped
meanly,6,scurvily basely,"in a despicable, ignoble manner",this new leader meanly threatens the deepest values of our society
meanwhile,9,meantime in the meantime,during the intervening time,meanwhile I will not think about the problem
meanwhile,9,,at the same time but in another place,"meanwhile, back at the ranch..."
measurably,10,,to a measurable degree,the difference is measurably large
measuredly,10,deliberately,in a deliberate unhurried manner,she was working deliberately
mechanically,12,,in a machinelike manner,without feeling
mechanically,12,automatically,in a mechanical manner,by a mechanism
mechanistically,15,,in a mechanistic manner,Handel achieves a huge breadth of musical thought when composing almost mechanistically in the least weighty of styles
medially,8,,in a medial position,this consonant always occurs medially
medically,9,,involving medical practice,medically trained nurses
meditatively,12,,in a meditative manner,"round and round, while meditatively, as a cow chewing the cud, he let his eyes rest on the flat water ahead of him"
meekly,6,,in a submissive or spiritless manner,meekly bowed to his wishes
mellowingly,11,,so as to mellow,the rays of the sun struck the earth mellowingly
melodically,11,,with respect to melody,melodically interesting themes
melodiously,11,tunefully,in a melodious manner,she sang melodiously
melodramatically,16,,in an overly emotional manner,she acted melodramatically when she called for help
melodramatically,16,,as in a melodrama,"here, the hero is melodramatically reunited with the heroine"
memorably,9,unforgettably,in a memorable manner,Horowitz could play Chopin memorably
menacingly,10,threateningly,in a menacing manner,the voice at the other end of the line dropped menacingly
mendaciously,12,untruthfully,in a mendacious and untruthful manner,"I told him, quite untruthfully, that I had just returned from leave"
mentally,8,,in your mind,he suffered mentally
mercifully,10,,in a compassionate manner,he dealt with the thief mercifully
mercilessly,11,pitilessly unmercifully  remorselessly,without pity,in a merciless manner
merely,6,simply just  only  but,and nothing more,I was merely asking
meretriciously,14,flashily,in a meretricious manner,the boat is meretriciously decorated
meritoriously,13,,in a meritorious manner,he served his country meritoriously
messily,7,untidily,"in a messy, untidy manner","Rossi spat very deliberately, and very messily, upon Durieux's party card"
metabolically,13,,involving metabolism,metabolically important substances
metaphorically,14,,in a metaphorical manner,she expressed herself metaphorically
metaphysically,14,,in a metaphysical manner,he thinks metaphysically
meteorologically,16,,with respect to the weather,meteorologically bad conditions
methodically,12,,in a methodical manner,she worked methodically
methodologically,16,,in a methodical manner,let us proceed methodologically
meticulously,12,,in a meticulous manner,the set was meticulously authentic
metrically,10,,with regard to meter,"metrically, these poems are matched"
microscopically,15,,by using a microscope,so as to be visible only with a microscope
microscopically,15,,as if by using a microscope,with extreme precision and attention to detail
midmost,7,in the midst,the middle or central part or point,in the midst of the forest
mightily,8,,powerfully or vigorously,he strove mightily to achieve a better position in life
mighty,6,mightily powerful  right,(Southern regional intensive) very,
mildly,6,,to a moderate degree,he was mildly interested
militarily,10,,with respect to the military,on a militarily significant scale
millionfold,11,a million times,by a factor of a million,it increased a millionfold
mincingly,9,,in a mincing manner,she stepped mincingly over the puddles
mindlessly,10,senselessly,in an unreasonably senseless manner,these temples were mindlessly destroyed by the Red Guards
mindlessly,10,,without intellectual involvement,"all day long, he mindlessly filled out forms"
minimally,9,,to a minimal degree,the cells minimally responsive to lines in this orientation will not fire
ministerially,13,,in the manner of a minister or clergyman,he was called on to visit ministerially on the dying man
minutely,8,circumstantially,in minute detail,our inability to see everything minutely and clearly is due merely to the infirmity of our senses
miraculously,12,,in a miraculous manner,"my hand grasped the gun that was, miraculously, lying on the ground beside my finger tips"
miserably,9,,in a miserable manner,I bit my lip miserably and nodded
mistakenly,10,erroneously,in a mistaken or erroneous manner,he mistakenly believed it
mistily,7,,in a misty manner,the summits of the mountains were mistily purple
moderately,10,,with moderation,in a moderate manner
modestly,8,,with modesty,in a modest manner
molto,5,,much,
momentarily,11,momently,at any moment,she will be with you momently
momentarily,11,momently,for an instant or moment,we paused momentarily before proceeding
monaurally,10,to one ear in one ea,in a monaural manner,the stimuli were presented monaurally
monolingually,13,,in a monolingual manner,she had been reared monolingually
monotonously,12,,in a monotonous manner,the history of the play throughout the latter part of the eighteenth century is monotonously uneventful
month by month,14,,for an indefinite number of months,"month by month, the betrayal gnawed at his heart"
monthly,7,,occurring once a month,they meet monthly
moodily,7,,in a moody manner,"in the bar, a youngish, sharp-eyed man was staring moodily into a gin and tonic"
morally,7,,with respect to moral principles,morally unjustified
morally,7,virtuously,in a moral manner,he acted morally under the circumstances
morbidly,8,,in a morbid manner or to a morbid degree,he was morbidly fascinated by dead bodies
mordaciously,12,,in a mordacious manner,she taunted him mordaciously
more,4,to a greater extent,used to form the comparative of some adjectives and adverbs,more interesting
more,4,,comparative of much,to a greater degree or extent
morosely,8,,in a morose manner,he fell morosely on the bed
morphologically,15,,in a morphological manner,with regard to morphology
mortally,8,,"in such a manner that death ensues (also in reference to hatred, jealousy, fear, etc.)","a being of whom the forest Indians are said to be mortally afraid, with a hoof shaped like the heel of a bottle"
most,4,to the highest degree,used to form the superlative,the king cobra is the most dangerous snake
most,4,,very,
motionlessly,12,,without moving,in a motionless manner
mournfully,10,,in a mournful manner,the young man stared into his glass mournfully
movingly,8,,in a moving manner,she sang movingly
much,4,practically,(degree adverb used before a noun phrase) for all practical purposes but not completely,much the same thing happened every time
much,4,,very,he was much annoyed
much,4,,to a great degree or extent,she's much better now
much,4,a great deal often,frequently or in great quantities,I don't drink much
multilaterally,14,,in a multilateral manner,so as to affect many parties or governments
multiplicatively,16,,in a multiplicative manner,the errors increased multiplicatively
multiply,8,,in several ways,in a multiple manner
mundanely,9,,in a mundane manner,the young man spoke so mundanely of university life
mundanely,9,terrestrially,in a worldly manner,terrestrially changeable
municipally,11,,by municipality,municipally funded
murderously,11,,as if bent on murder,the huge dog bore down on them with bared fangs and barking murderously
murkily,7,,unclearly,opaquely
musically,9,,in a musical manner,She sang very musically
musingly,8,,in a reflective manner,"`It's funny about that bar,' he said musingly"
mutely,6,wordlessly silently  taciturnly,without speaking,he sat mutely next to her
mutually,8,reciprocally,in a mutual or shared manner,the agreement was mutually satisfactory
mystically,10,,in a mystical manner,chant mystically
naively,7,,in a naive manner,"he believed, naively, that she would leave him her money"
nakedly,7,,without clothing,Henriette saw the weaving figure of an Apache warrior reel nakedly on a pony and rush by with a rifle raised
nakedly,7,,in an exposed manner,without protection or defense
narrowly,8,,in a narrow manner,not allowing for exceptions
narrow-mindedly,15,small-mindedly,in a narrow-minded manner,"narrow-mindedly, the authorities closed down the cafe where teenagers used to hang out"
nasally,7,,in a nasal manner,inhaled nasally
nastily,7,meanly,in a nasty ill-tempered manner,"`Don't expect me to help you,' he added nastily"
nationally,10,,with regard to a nation taken as a whole,a nationally uniform culture
nationally,10,nationwide across the nation  across the country,extending throughout an entire nation,nationally advertised
nattily,7,,in a natty manner,with smartness
naturally,9,of course course,as might be expected,"naturally, the lawyer sent us a huge bill"
naturally,9,,according to nature,by natural means
naturally,9,,in a natural or normal manner,speak naturally and easily
naturally,9,by nature,through inherent nature,he was naturally lazy
nay,3,,not this merely but also,not only so but
near,4,nigh close,near in time or place or relationship,as the wedding day drew near
nearby,6,,not far away in relative terms,she works nearby
nearer,6,nigher close,(comparative of `near' or `close') within a shorter distance,
nearest,7,nighest closest,(superlative of `near' or `close') within the shortest distance,
neatly,6,,with neatness,she put the slippers under the bed neatly
necessarily,11,needfully,in an essential manner,such expenses are necessarily incurred
necessarily,11,,as a highly likely consequence,we are necessarily bound for federalism in Europe
neck and neck,13,head-to-head nip and tuck,even or close in a race or competition or comparison,the horses ran neck and neck
needlessly,10,,without need,it would needlessly bring badness into the world
nefariously,11,,in a nefarious manner or to a nefarious degree,nefariously involved in a conspiracy
negatively,10,,in a negative way,he was negatively inclined
negatively,10,,in a harmful manner,he was negatively affected
negligently,11,,in a negligent manner,he did his work negligently
nervously,9,,in an anxiously nervous manner,we watched the stock market nervously
nervously,9,,with nervous excitement,our bodies jumped nervously away at the slightest touch
neurobiological,15,,with respect to neurobiology,explain the phenomenon neurobiologically
neurotically,12,,in a neurotic manner,"they are finely, not to say neurotically adjusted"
never,5,ne'er,not ever,at no time in the past or future
never,5,,not at all,certainly not
nevermore,9,never again,at no time hereafter,"Quoth the raven, nevermore -E.A.Poe"
newly,5,freshly fresh  new,very recently,they are newly married
next,4,,at the time or occasion immediately following,next the doctor examined his back
next door,9,in the adjacent house in the adjacent apartment,at or in or to the adjacent residence,the criminal had been living next door all this time
nicely,6,,in a nice way,a nicely painted house
nightly,7,every night,at the end of each day,she checks on her roses nightly
ninefold,8,nine times,by a factor of nine,my investment has increased ninefold
no,2,,used to express refusal or denial or disagreement etc or especially to emphasize a negative statement,"no, you are wrong"
no,2,,not in any degree or manner,not at all
no,2,no more,referring to the degree to which a certain quality is present,he was no heavier than a child
no end,6,,on and on for a long time,the child cried no end
no longer,9,no more,not now,she is no more
nobly,5,,in a noble manner,she has behaved nobly
nocturnally,11,,at night,nocturnally active bird
nohow,5,,in no manner,in no way
noiselessly,11,soundlessly,without a sound,he stood up soundlessly and speechlessly and glided across the hallway and through a door
noisily,7,,with much noise or loud and unpleasant sound,he blew his nose noisily
nominally,9,,in name only,nominally he is the boss
noncompetitively,16,,in a noncompetitive manner,the scholarships will be awarded noncompetitively
none,4,,not at all or in no way,seemed none too pleased with his dinner
nonlexically,12,,without the use of words,expressed nonlexically
nonspecifically,15,,without specificity,nonspecifically staining substances
nonstop,7,,without stopping,we are flying nonstop form New York to Tokyo
nonverbally,11,non-verbally,without words,they communicated nonverbally
nonviolently,12,,without violence,"the government was overthrown nonviolently, but the dictator was killed"
normally,8,usually unremarkably  commonly  ordinarily,under normal conditions,usually she was late
north,5,northerly northwards  northward,in a northern direction,they earn more up north
northeastward,13,northeastwardly,in a northeastward direction,the river flows northeastward to the gulf
nostalgically,13,,in a nostalgic manner,"they spent an hour together, talking nostalgically as they wandered slowly down the coast road"
not,3,non,negation of a word or group of words,he does not speak French
notably,7,,especially,in particular
nothing,7,,in no respect,to no degree
notoriously,11,,to a notorious degree,"European emigres, who notoriously used to repair to the British Museum to write seditious pamphlets"
now,3,,used to preface a command or reproof or request,now hear this
now,3,at present,at the present moment,goods now on sale
now,3,,in the historical present,at this point in the narration of a series of past events
now,3,,in the immediate past,told me just now
now,3,,(prefatory or transitional) indicates a change of subject or activity,Now the next problem is...
nowadays,8,now today,in these times,it is solely by their language that the upper classes nowadays are distinguished- Nancy Mitford
nowhere,7,,not anywhere,in or at or to no place
nowise,6,to no degree,in no manner,they are nowise different
numbly,6,insensibly,in a numb manner,without feeling
numerically,11,,in number,with regard to numbers
nutritionally,13,,with regard to nutrition,"nutritionally, her new diet is suicide"
obediently,10,yieldingly,in an obedient manner,obediently she slipped off her right shoe and stocking
objectively,11,,with objectivity,we must look at the facts objectively
obligatorily,12,,in an obligatory manner,this rule applies obligatorily
obligingly,10,accommodatingly,in accommodation,"obligingly, he lowered his voice"
obliquely,9,aslant athwart,at an oblique angle,the sun shone aslant into his face
obscenely,9,,to an obscene degree,this man is obscenely rich
obscurely,9,,in an obscure manner,this work is obscurely written
obsequiously,12,subserviently servilely,in an obsequious manner,she acts obsequiously toward her boss
obstreperously,14,loudly clamorously,in manner that attracts attention,"obstreperously, he demanded to get service"
obstructively,13,hinderingly,in an obstructive manner,he acted very obstructively when we tried to carry out our project
obviously,9,evidently manifestly  patently  apparently  plainly  plain,unmistakably (`plain' is often used informally for `plainly'),
occasionally,12,on occasion once in a while  now and then  now and again  at times  from time to time,sporadically and infrequently,he was arrogant and occasionally callous
o'clock,7,,according to the clock,it's three o'clock in Tokyo now
off,3,,no longer on or in contact or attached,clean off the dirt
off,3,away,at a distance in space or time,the boat was  miles off (or away)
off and on,10,on and off,not regularly,they phone each other off and on
off the beaten track,20,off the beaten path,not along the usual route,"in order to experience something different, you need to go off the beaten path"
off the cuff,12,,without preparation,the presidential candidate made a remark off the cuff
off the record,14,,not for quotation,he spoke to the reporter off the record
offensively,11,,in an aggressive manner,"`In this crisis, we must act offensively,' the President said"
offensively,11,objectionably obnoxiously,in an obnoxious manner,he said so in one of his more offensively intellectually arrogant sentences
offensively,11,,in an unpleasantly offensive manner,he smelled offensively unwashed
offhand,7,offhanded offhandedly,in a casually inconsiderate manner,"replied offhand, his mind a million miles away"
offhand,7,offhanded offhandedly,without previous thought or preparation,couldn't give the figures offhand
off-hand,8,ex tempore,without preparation,I don't know the figures off-hand
officially,10,,in an official role,"officially, he is in charge"
officiously,11,,in an officious manner,nothing so fatal as to strive too officiously for an abstract quality like beauty
offshore,8,,away from shore,away from land
offstage,8,,not in public,the deal was done offstage
offstage,8,,behind the scenes,not on stage
off-the-clock,13,,overtime without extra compensation,she often has to work off-the-clock
okay,4,O.K. all right  alright,in a satisfactory or adequate manner,
ominously,9,,in an ominous manner,the sun darkened ominously
on,2,,indicates continuity or persistence or concentration,his spirit lives on
on,2,,in a state required for something to function or be effective,turn the lights on
on air,6,,very happily,we were floating on air at the news
on all fours,12,,on hands and knees,he got down on all fours to play with his grandson
on approval,11,,for examination (with an option to buy),they took the VCR on approval
on camera,9,,within range of a movie or television camera,the senator didn't realize that he was speaking on camera
on earth,8,,used with question words to convey surprise,what on earth are you doing?
on faith,8,,with trust and confidence,we accepted him on faith
on paper,8,in writing,as written or printed,this is exactly what the composer had set down on paper
on the average,14,on average,typically,on average he watches three movies a week
on the coattails,16,one one's coattails,immediately following or undeservedly benefiting from,the CEO resigned on the coattails of the scandal
on the fly,10,hurridly,on the run or in a hurry,she wrote those letters on the fly
on the fly,10,,while in motion,he caught the punt on the fly
on the one hand,15,on one hand,from one point of view,"on the one hand, she is a gifted chemist"
on the other hand,17,then again,(contrastive) from another point of view,"on the other hand, she is too ambitious for her own good"
on the spot,11,,without delay or immediately,we hired her on the spot
on the spot,11,,at the place in question,there
on the spot,11,,in a difficult situation,that question really put him on the spot
on the spur of the moment,25,suddenly,on impulse,without premeditation
on the way,10,en route,on a route to some place,help is on the way
on time,7,punctually,at the expected or proper time,she always arrives on time
once,4,one time in one case,on one occasion,once I ran into her
once,4,formerly at one time  erstwhile  erst,at a previous time,at one time he loved her
once,4,,as soon as,"once we are home, we can rest"
one by one,10,one at a time,in succession,the prisoners came out one by one
one-on-one,10,person-to-person,(of two persons) in direct encounter,preferred to settle the matter one-on-one
only,4,,with nevertheless the final result,He arrived only to find his wife dead
only,4,,in the final outcome,These news will only make you more upset
only,4,,as recently as,I spoke to him only an hour ago
only,4,,except that,It was the same story; only this time she came out better
only,4,only if only when,never except when,call me only if your cold gets worse
onshore,7,,on or toward the land,they were living onshore
onstage,7,,on the stage,it was time for her to go onstage
opaquely,8,,in an opaque manner,he referred opaquely to her recent past
openly,6,,in an open way,he openly flaunted his affection for his sister
operationally,13,,in respect to operation,reported the machine operationally satisfactory
opportunely,11,,at an opportune time,he arrived rather opportunely just when we needed a new butler
oppressively,12,,in a heavy and oppressive way,it was oppressively hot in the office
optically,9,,in an optical manner,optically distorted
optimistically,14,,with optimism,in an optimistic manner
optionally,10,,in an optional manner,this rule is applied optionally
orally,6,by word of mouth,by spoken rather than written means,these stories were transmitted by word of mouth
orally,6,,(of drugs) through the mouth rather than through injection,
organically,11,,involving carbon compounds,organically bound iodine
organically,11,,as an important constituent,the drapery served organically to cover the Madonna
organically,11,,in an organic manner,this food is grown organically
organizationally,16,,with regard to organization,"organizationally, the conference was a disaster"
ornately,8,,in an ornate manner,the cradle was ornately carved
ostentatiously,14,showily,with ostentation,in an ostentatious manner
otherwise,9,,in other respects or ways,he is otherwise normal
out,3,,away from home,they went out last night
out,3,,"moving or appearing to move away from a place, especially one that is enclosed or hidden",the cat came out from under the bed
out of,6,,motivated by,idleness is the trait of being idle out of a reluctance to work
out of hand,11,beyond control,out of control,the riots got out of hand
out of place,12,,in a setting where one is or feels inappropriate or incongruous,he felt out of place in the lingerie shop
out of sight,12,out of view,no longer visible,the ship disappeared behind the horizon and passed out of sight
out of the way,14,,so as not to obstruct or hinder,put that box out of the way so that no one trips on it
out of the way,14,,murdered,the mob boss wanted his rival out of the way
out of the way,14,,improper,amiss
out of the way,14,,extraordinary,unusual
out of thin air,15,out of nothing from nowhere,without warning,your cousin arrived out of thin air
out of wedlock,14,outside marriage,of unwed parents,he was born out of wedlock
outlandishly,12,,in an outlandish manner,the Bavarian was outlandishly dressed in lederhosen
outrageously,12,atrociously,to an extravagant or immoderate degree,atrociously expensive
outrageously,12,,in a very offensive manner,he behaved outrageously
outright,8,,without reservation or concealment,she asked him outright for a divorce
outright,8,,without restrictions or stipulations or further payments,buy outright
outside,7,outdoors out of doors  alfresco,outside a building,in summer we play outside
outside,7,,on the outside,"outside, the box is black"
outspokenly,11,,in an outspoken manner,he was outspokenly critical of the Government's new social policy
outstandingly,13,,in an outstanding manner or to an outstanding degree,she was outstandingly successful in her profession
outward,7,outwards,toward the outside,move the needle further outward
outwardly,9,,in outward appearance,"outwardly, she appeared composed"
outwardly,9,externally,with respect to the outside,"outwardly, the figure is smooth"
over,4,o'er,throughout a period of time,stay over the weekend
over,4,,at or to a point across intervening space etc.,come over and see us some time
over,4,,throughout an area,he is known the world over
over,4,,beyond the top or upper surface or edge,forward from an upright position
over and over,13,again and again over and over again  time and again  time and time again,repeatedly,the unknown word turned up over and over again in the text
overboard,9,,from on board a vessel into the water,they dropped their garbage overboard
overboard,9,,to extremes,he went overboard to please his in-laws
overhead,8,,above the head,over the head
overhead,8,,above your head,in the sky
overleaf,8,,on or to the other side of a page,data tabulated overleaf
overmuch,8,too much,more than necessary,she eats too much
overnight,9,,during or for the length of one night,the fish marinates overnight
overnight,9,,happening in a short time or with great speed,these solutions cannot be found overnight
oversea,7,overseas,beyond or across the sea,He lived overseas for many years
overside,8,,over the side of a boat,Willie eased himself overside into the sea
overtime,8,,beyond the regular time,she often has to work overtime
overtly,7,,in an overt manner,he did it overtly
overwhelmingly,14,overpoweringly irresistibly,incapable of being resisted,the candy looked overwhelmingly desirable to the dieting man
owlishly,8,,in an owlish manner,the gentle-looking barrister peered owlishly around him
pacifistically,14,,in a pacifistic manner,the pacifistically inclined liberals
painfully,9,distressingly,unpleasantly,his ignorance was painfully obvious
painfully,9,sorely,in or as if in pain,she moved painfully forward
painlessly,10,,without pain,"after the surgery, she could move her arms painlessly"
painstakingly,13,fastidiously,in a fastidious and painstaking manner,it is almost a waste of time painstakingly to learn the routines of selling
palely,6,,in a pale manner,without physical or emotional color
pallidly,8,palely dimly,in a manner lacking interest or vitality,a palely entertaining show
palmately,9,,in a palmate manner,palmately cleft
palpably,8,,so as to be palpable,she was palpably nervous
par excellence,14,,to a degree of excellence,he is the honest politician par excellence
paradoxically,13,,in a paradoxical manner,"paradoxically, ice ages seem to occur when the sun gets hotter"
parenterally,12,,by parenteral means,the drug is intended to be administered parenterally
parenthetically,15,,in a parenthetical manner,he added parenthetically that he would not attend the wedding ceremony
parochially,11,,in a parochial manner,parochially narrow in his outlook
partially,9,partly part  in part,to some extent,in some degree
particularly,12,peculiarly especially  specially,to a distinctly greater extent or degree than is common,he was particularly fussy about spelling
particularly,12,in particular,specifically or especially distinguished from others,"loves Bach, particularly his partitas"
passionately,12,,with passion,she kissed him passionately
passively,9,,in a passive manner,he listened passively
pat,3,,completely or perfectly,he has the lesson pat
paternally,10,,in a paternal manner,he behaves very paternally toward his young bride
pathetically,12,,arousing scornful pity,they had pathetically little money
pathetically,12,pitiably,in a manner arousing sympathy and compassion,the sick child cried pathetically
pathologically,14,,with respect to pathology,pathologically interesting results
patiently,9,,with patience,in a patient manner
patriotically,13,,in a patriotic manner,"patriotically, he buys only U.S.-made products"
peaceably,9,pacifically,in a peaceable manner,the tenant paying the rent hereby reserved and performing the several covenants herein on his part contained shall peaceably hold and enjoy the demised premises
peacefully,10,,in a peaceful manner,the hen settled herself on the nest most peacefully
peculiarly,10,particularly,uniquely or characteristically,these peculiarly cinematic elements
